id;first_name;last_name;email;phone;date_of_birth
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;572-731-2741 x6153;2023-05-07T19:39:55
2;Bert;Crooks;Harmon75@yahoo.com;980-225-2104;2023-05-07T06:40:42
3;Michelle;Rath;Laurence.Gaylord34@yahoo.com;(543) 373-1095 x853;2023-05-07T06:12:15
4;Eriberto;Lehner;Bryana_Littel56@gmail.com;1-541-330-1236;2023-05-07T05:18:52
5;Christopher;Ritchie;Kaela.Kihn@yahoo.com;976.321.6591 x74219;2023-05-07T19:30:46
6;Zaria;Lebsack;Karlie96@yahoo.com;220-256-5952 x000;2023-05-07T23:06:53
7;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;321.598.0711;2023-05-07T23:05:03
8;Daniela;Schimmel;Aliza43@hotmail.com;606.600.9301 x3264;2023-05-07T23:53:38
9;Abe;Olson;Cedrick_Murazik16@gmail.com;(969) 274-1041;2023-05-07T14:24:22
10;Josie;Hyatt;Marlee.Leuschke@gmail.com;942-374-2326 x5670;2023-05-07T22:11:19
